214507331,233,0.5665236051502146,1576.4714828897338,132,58,13321.498
214507365,69,1.3768115942028984,205.78082191780825,95,53,6121.674
214507385,67,4.134328358208955,112.0,277,24,2492.85
214507408,48,2.0416666666666665,94.11764705882356,98,42,4203.699000000001
214507415,29,3.4482758620689653,256.3636363636364,100,89,6778.326999999998
214507445,50,4.48,61.85185185185186,224,40,3216.3390000000004
214507447,102,2.3529411764705883,84.78504672897195,240,69,7101.5239999999985
214507492,112,1.2321428571428572,117.375,138,79,6683.196000000001
214507556,36,2.3888888888888893,149.04761904761904,86,60,5630.194
214507610,68,4.941176470588236,93.5,336,38,3198.570000000001
214507708,35,2.5714285714285716,118.43243243243244,90,31,2200.6340000000005
214507802,24,2.458333333333333,198.84615384615384,59,23,2869.665
214508027,36,4.361111111111111,70.88095238095238,157,26,3746.9690000000014
214508244,73,3.9178082191780814,84.32432432432431,286,56,5191.473
214508287,294,0.8503401360544217,518.2598187311178,250,128,24562.965
214508304,84,0.75,314.93023255813955,63,77,7059.579000000002
214508308,92,0.9891304347826086,346.73684210526324,91,102,13452.101999999999
214508347,42,0.5952380952380952,1116.1777777777775,25,24,3708.433
214508475,67,3.567164179104477,253.92957746478874,239,86,3881.995
214508535,28,2.2142857142857144,77.86666666666666,62,32,1795.761
214508537,6,0.6666666666666666,5538.666666666668,4,10,1043.049
214508555,17,1.1176470588235294,116.11111111111113,19,25,2311.705
214508563,35,0.6,1561.75,21,57,8005.768000000001
214508585,15,0.5333333333333333,4712.0,8,10,687.6569999999998
214508942,252,0.75,19751.48201438849,189,500,50412.89700000001
214508964,6,0.5,7801.5,3,18,1015.003
214509000,79,0.9746835443037974,9875.033707865168,77,80,12129.991000000002
214509013,71,0.7887323943661971,50428.04761904762,56,450,87106.30099999999
214509035,22,0.13636363636363635,5883.666666666668,3,69,5967.418000000002
214509037,8,0.375,5215.0,3,8,380.77
214509039,13,0.4615384615384616,9103.733333333334,6,12,4649.266000000001
214509041,33,0.696969696969697,14275.0,23,35,4372.082999999999
214509084,436,0.4128440366972477,3845.9392033542977,180,470,54437.61
214509090,7,0.14285714285714285,1630.5714285714291,1,15,2167.8070000000002
214509125,237,0.05485232067510549,255.2265625,13,33,3875.77
214509127,14,0.2857142857142857,418.4,4,24,5246.555
214509135,37,0.13513513513513514,248.5,5,45,4785.2959999999985
214509142,11,0.18181818181818185,698.0,2,80,7141.212
214509144,83,0.20481927710843373,568.0531914893618,17,120,14319.44
214509146,38,0.05263157894736842,124.61904761904762,2,52,4555.389
214509148,77,0.3376623376623377,934.1538461538464,26,176,13452.465
214509150,38,0.2631578947368421,547.7441860465116,10,89,4871.407
214509152,46,0.2608695652173913,747.7551020408164,12,129,12484.160000000002
214509155,46,0.17391304347826084,358.8979591836735,8,55,9505.845
214509157,28,0.14285714285714285,488.53333333333336,4,24,3221.759
214509163,19,0.21052631578947367,1763.3684210526314,4,16,431.164
214509172,13,0.15384615384615385,916.0625,2,17,2371.216000000001
214509206,17,0.29411764705882354,436.1111111111112,5,7,311.309
214509296,10,0.4,753.5,4,7,134.50199999999998
214509305,6,0.6666666666666666,1116.0,4,2,175.16299999999995
214509399,39,0.1282051282051282,639.8888888888888,5,43,6453.168000000002
214509401,1248,0.3149038461538461,575.2145428365731,393,225,49107.20600000001
214509403,76,0.06578947368421052,342.5308641975309,5,72,6911.089
214509525,66,0.8636363636363636,205.67647058823533,57,68,6407.991999999998
214509527,10,1.7,518.0,17,19,1064.93
214509639,8,0.75,376.2,6,4,283.14900000000006
214509690,2,0.5,1256.0,1,1,33.085
214509750,17,4.0,271.77777777777777,68,23,3163.611
214509787,23,0.7391304347826086,2253.260869565217,17,10,1545.5369999999994
214509830,55,0.3272727272727273,2670.0,18,90,9777.782
214509842,81,0.3950617283950617,1211.5744680851064,32,13,2386.608
